"시점",경제활동참가율,경제활동참가율,경제활동참가율,실업률,실업률,실업률,고용률,고용률,고용률
"시점",합계,남자,여자,합계,남자,여자,합계,남자,여자
"2019. 01",61.8,71.4,53.1,5.1,5.2,5.0,58.7,67.6,50.4
"2019. 02",61.7,71.1,53.1,5.3,5.1,5.6,58.4,67.5,50.1
"2019. 03",62.2,71.7,53.5,5.6,5.6,5.5,58.7,67.6,50.6
"2019. 04",62.8,72.2,54.3,5.2,5.5,4.9,59.6,68.2,51.7
"2019. 05",63.3,72.9,54.6,4.9,5.4,4.2,60.3,69.0,52.3
"2019. 06",63.4,72.8,54.8,4.4,4.8,3.8,60.6,69.3,52.7
"2019. 07",63.6,73.2,54.9,4.4,4.5,4.2,60.8,69.9,52.5
"2019. 08",63.0,72.4,54.4,3.8,4.2,3.5,60.6,69.4,52.5
"2019. 09",63.1,71.9,55.0,3.6,3.8,3.4,60.8,69.1,53.2
"2019. 10",62.9,71.4,55.2,3.6,3.8,3.3,60.7,68.7,53.4
"2019. 11",62.7,71.2,54.8,3.4,3.9,2.9,60.5,68.5,53.2
"2019. 12",62.5,70.5,55.1,3.3,3.2,3.5,60.4,68.3,53.2
"2020. 01",62.6,70.7,55.3,4.2,3.7,4.8,60.0,68.0,52.7
"2020. 02",62.8,70.9,55.3,4.3,4.1,4.4,60.1,68.0,52.9
"2020. 03",62.1,70.7,54.4,5.0,4.7,5.4,59.0,67.4,51.4
"2020. 04",61.9,70.7,53.9,5.3,5.0,5.8,58.6,67.2,50.8
"2020. 05",62.7,71.6,54.6,5.8,5.4,6.1,59.1,67.7,51.3
"2020. 06",62.2,71.0,54.3,4.8,4.3,5.4,59.2,67.9,51.4
"2020. 07",62.3,70.8,54.6,4.5,3.9,5.1,59.5,68.0,51.9
"2020. 08",61.7,70.3,53.8,3.3,2.9,3.9,59.6,68.3,51.7
"2020. 09",61.4,70.5,53.2,4.2,4.3,4.1,58.9,67.5,51.1
"2020. 10",62.0,70.8,54.1,4.6,4.4,4.7,59.2,67.6,51.5
"2020. 11",62.4,70.8,54.7,4.2,3.8,4.7,59.8,68.1,52.2
"2020. 12",61.6,70.6,53.4,4.5,4.5,4.5,58.8,67.4,50.9
"2021. 01",61.3,70.0,53.4,6.5,6.0,7.2,57.3,65.8,49.6
"2021. 02",61.9,70.7,53.9,6.5,5.7,7.3,57.9,66.6,50.0
"2021. 03",62.5,71.5,54.2,5.4,5.2,5.7,59.1,67.8,51.1
"2021. 04",62.4,71.0,54.6,5.0,4.8,5.3,59.2,67.6,51.7
"2021. 05",62.9,71.5,55.1,5.2,5.0,5.6,59.6,67.9,52.1
"2021. 06",63.0,71.5,55.3,5.2,4.9,5.6,59.7,68.0,52.2
"2021. 07",62.4,70.6,55.0,4.5,4.5,4.4,59.6,67.4,52.6
"2021. 08",61.7,70.0,54.2,4.0,4.1,3.9,59.2,67.1,52.1
"2021. 09",61.9,70.3,54.3,3.6,3.8,3.4,59.7,67.7,52.5
"2021. 10",62.1,70.6,54.5,4.2,4.6,3.7,59.5,67.3,52.5
"2021. 11",62.5,71.2,54.6,4.1,4.3,3.9,59.9,68.2,52.4
"2021. 12",62.5,71.1,54.7,3.8,4.1,3.4,60.2,68.2,52.9
"2022. 01",62.0,70.5,54.3,4.7,4.2,5.3,59.0,67.5,51.4
"2022. 02",62.4,71.3,54.4,4.3,4.6,4.0,59.7,68.0,52.2
"2022. 03",62.4,71.1,54.4,4.1,4.4,3.7,59.8,68.0,52.4
"2022. 04",62.8,71.6,54.9,3.9,4.1,3.6,60.4,68.7,52.9
"2022. 05",63.0,71.8,55.0,3.5,3.7,3.3,60.8,69.2,53.2
"2022. 06",63.0,71.6,55.2,3.4,3.3,3.6,60.8,69.2,53.2
"2022. 07",62.9,71.3,55.4,3.3,3.4,3.1,60.9,68.9,53.7
"2022. 08",62.1,70.4,54.6,2.3,2.2,2.5,60.7,68.9,53.3
"2022. 09",62.5,70.9,55.0,2.8,2.7,3.0,60.7,68.9,53.3
"2022. 10",62.4,71.1,54.5,3.1,3.1,3.0,60.5,68.9,52.8
"2022. 11",62.6,71.1,54.9,2.8,2.6,3.0,60.8,69.2,53.3
"2022. 12",62.5,70.7,55.2,2.8,2.8,2.7,60.8,68.7,53.7
"2023. 01",61.9,69.5,55.0,3.4,2.9,3.9,59.8,67.5,52.9
"2023. 02",61.9,69.6,55.0,2.9,2.3,3.5,60.2,68.0,53.1
"2023. 03",62.6,70.3,55.5,2.8,2.4,3.3,60.8,68.6,53.7
"2023. 04",62.5,70.6,55.2,2.8,2.3,3.3,60.8,69.0,53.4
"2023. 05",63.3,71.4,56.1,2.7,2.8,2.6,61.6,69.4,54.7
"2023. 06",63.4,71.3,56.3,2.8,2.6,3.2,61.6,69.5,54.5
"2023. 07",63.0,71.1,55.7,3.0,2.9,3.2,61.1,69.1,53.9
"2023. 08",62.7,70.7,55.5,2.0,1.8,2.3,61.4,69.4,54.2
"2023. 09",62.6,70.9,55.1,2.4,2.1,2.7,61.1,69.5,53.6
"2023. 10",63.2,71.3,55.9,2.5,2.4,2.6,61.6,69.6,54.4
"2023. 11",63.4,71.7,55.9,2.7,2.6,2.9,61.7,69.9,54.3
"2023. 12",63.0,70.9,56.0,2.9,3.2,2.4,61.2,68.6,54.6
"2024. 01",63.3,71.3,56.0,3.1,3.1,3.2,61.3,69.1,54.3
"2024. 02",63.4,71.2,56.4,2.9,2.9,2.9,61.6,69.1,54.8
"2024. 03",63.8,71.0,57.3,3.4,3.8,2.9,61.6,68.3,55.6
"2024. 04",64.3,71.8,57.6,3.6,4.0,3.1,62.0,68.9,55.8
"2024. 05",64.3,72.1,57.2,3.6,4.3,2.9,62.0,69.1,55.6
"2024. 06",64.0,71.8,57.1,3.3,3.6,3.0,61.9,69.2,55.3
"2024. 07",63.4,71.3,56.4,2.6,2.6,2.5,61.8,69.4,54.9
"2024. 08",63.3,71.0,56.4,2.4,2.5,2.3,61.8,69.2,55.1
"2024. 09",63.6,71.0,56.9,2.6,2.4,2.7,62.0,69.3,55.3
"2024. 10",63.8,71.2,57.1,2.8,2.8,2.8,62.0,69.2,55.5
"2024. 11",63.3,70.7,56.7,2.7,2.4,3.0,61.6,69.0,54.9
"2024. 12",63.4,70.4,57.1,3.5,3.3,3.8,61.2,68.1,54.9
"2025. 01",62.9,70.2,56.4,4.2,3.8,4.7,60.3,67.5,53.8
"2025. 02",63.5,71.0,56.8,4.7,4.3,5.1,60.5,67.9,53.9
"2025. 03",63.4,70.9,56.6,4.6,4.3,4.9,60.5,67.9,53.9
